"name","city","stationid","lon","lat","earliest_measurement_at","latest_measurement_at"
"Annastraße","Augsburg",251,10.8960397,48.3680965,2020-02-03 10:09:59,2020-03-20 22:42:43
"Lange Straße","Oldenburg",209,8.2134416,53.1412523,2019-10-30 00:00:00,2020-03-20 22:47:16
"Stiftstraße","Stuttgart",151,9.1777135,48.7763985,2019-06-08 00:00:00,2020-03-20 22:42:11
"Neustraße","Bocholt",253,6.6153668,51.8367724,2020-03-06 11:00:00,2020-03-20 22:49:25
"Hohe Straße (Nord)","Köln",168,6.9562851,50.9370811,2019-09-18 00:00:00,2020-03-20 22:45:08
"Große Bleichen","Hamburg",93,9.988772,53.5526821,2018-10-25 00:00:00,2020-03-20 22:45:19
"Schönbornstraße","Würzburg",135,9.9309795,49.7951609,2019-04-02 18:24:00,2020-03-20 22:48:03
"Holm","Flensburg",252,9.4353699,54.7843186,2020-02-11 00:00:00,2020-03-20 22:45:56
"Sack","Braunschweig",131,10.5215254,52.264684,2019-06-01 00:00:00,2020-03-20 06:09:52
"Hauptstraße (Süd)","Erlangen",142,11.0033825,49.598945,2019-05-16 00:00:00,2020-03-20 22:43:35
"Kaiserstraße","Nürnberg",89,11.0756473,49.4523195,2018-08-27 00:00:00,2020-03-20 22:44:21
"Schildergasse (Ost)","Köln",160,6.9525662,50.9364177,2019-06-25 10:34:00,2020-03-20 22:46:49
"Krahnstraße (Mitte, Altstadt)","Osnabrück",109,8.0131,52.2983,2019-01-30 00:00:00,2020-03-20 22:42:53
"Schlösserstraße","Erfurt",57,11.030757,50.976779,2018-05-01 00:00:00,2020-03-20 22:36:55
"Hirschstraße","Ulm",146,9.9886346,48.3983084,2019-05-30 00:00:00,2020-03-20 22:49:00
"Fleiner Straße","Heilbronn",139,9.2188033,49.1405142,2019-08-09 00:00:00,2020-03-20 22:47:47
"Kaiser-Joseph-Straße (Mitte)","Freiburg",143,7.8497932,47.9947555,2019-05-01 00:00:00,2020-03-20 22:39:30
"Tauentzienstraße Südseite (West)","Berlin",98,13.3388313,52.5031959,2018-11-09 00:00:00,2019-11-02 00:23:00
"Zeppelinstraße ","Köln",167,6.9488735,50.9373784,2019-09-18 00:00:00,2020-03-20 22:41:53
"Bürgerturmstraße","Biberach an der Riß",250,9.7896344,48.0995511,2020-01-22 00:00:00,2020-03-20 22:31:41
"Große Packhofstraße","Hannover",64,9.7375712,52.3743728,2018-05-01 00:00:00,2020-03-20 22:25:08
"Rheinstraße (West)","Krefeld",145,6.5661014,51.3337356,2019-07-19 00:00:00,2020-03-20 22:49:16
"Ernst-Ludwig-Straße","Darmstadt",104,8.653975,49.8717186,2019-01-21 00:00:00,2020-03-20 22:42:13
"Bahnhofstraße (Süd)","Bielefeld",163,8.5313407,52.025841,2019-07-06 00:00:00,2020-03-20 22:42:29
"Bürgermeister-Fischer-Straße","Augsburg",102,10.8960489,48.3665542,2019-01-15 00:00:00,2020-03-20 22:47:36
"Schusterstraße","Mainz",71,8.2720029,50.0010043,2018-05-01 00:00:00,2020-03-20 22:32:40
"Stadthausstraße","Mainz",72,8.2704134,50.0009996,2018-05-01 00:00:00,2020-03-20 22:37:44
"Schildergasse (West)","Köln",47,6.9525662,50.9364177,2018-05-01 00:00:00,2020-03-20 22:49:04
"Königstraße (Süd)","Stuttgart",77,9.1779047,48.778096,2018-05-01 00:00:00,2020-03-20 22:47:40
"Kettwiger Straße","Essen",125,7.0129314,51.4550279,2019-04-06 00:00:00,2020-03-20 22:49:34
"Fleischstraße","Trier",140,6.638543,49.7553997,2019-05-07 14:53:00,2020-03-20 22:57:26
"Große Straße (Süd)","Osnabrück",153,8.0469258,52.2745677,2019-06-14 00:00:00,2020-03-20 22:36:53
"Neuhauser Straße","München",73,11.5684488,48.1386454,2018-05-01 00:00:00,2020-03-20 22:49:30
"Königsallee Ostseite (Süd)","Düsseldorf",56,6.779266,51.2220574,2018-05-01 00:00:00,2020-03-20 22:43:20
"Ludwigstraße","Ingolstadt",123,11.4267115,48.7643061,2019-03-31 22:00:00,2020-03-20 22:08:16
"Ludwigstraße","Passau",147,13.4593968,48.5744089,2019-06-04 00:00:00,2020-03-20 23:05:36
"Neuer Wall","Hamburg",91,9.9896769,53.5512791,2018-09-28 00:00:00,2020-03-20 22:41:37
"Kaufingerstraße","München",165,11.5734265,48.1376146,2019-08-28 00:00:00,2020-03-20 22:48:51
"Zöllnerstraße","Celle",254,10.0835373,52.6243786,2020-03-05 23:00:00,2020-03-20 22:30:01
"Planken (Ost)","Mannheim",96,8.4687368,49.4867989,2018-11-06 13:00:00,2020-03-20 22:45:04
"Krahnstraße (Süd)","Osnabrück",107,8.042482,52.2763413,2019-08-01 00:00:00,2020-03-20 22:47:34
"Große Straße (Mitte)","Osnabrück",108,8.0469258,52.2745677,2019-01-30 00:00:00,2020-03-20 22:50:00
"Karmarschstraße","Hannover",65,9.7369225,52.3714052,2018-05-01 00:00:00,2020-03-20 23:00:25
"Sternstraße","Bonn",52,7.098868,50.7356832,2018-05-01 00:00:00,2020-03-20 22:47:35
"Am Brand","Mainz",85,8.2738689,50.0003691,2018-07-09 00:00:00,2020-03-20 22:38:57
"Prager Straße (Nord)","Dresden",164,13.7354408,51.0444053,2019-07-29 00:00:00,2020-03-20 22:49:57
"Münsterplatz ","Ulm",78,9.9916439,48.397614,2019-04-02 00:00:00,2020-03-20 22:46:32
"Rothenburg","Münster",100,7.6253485,51.960613,2018-11-20 15:30:00,2020-03-20 22:43:34
"Hohe Straße (Süd)","Köln",158,6.9562851,50.9370811,2019-06-24 15:34:00,2020-03-20 22:47:56
"Obernstraße","Bremen",172,8.8049338,53.0773429,2019-10-01 00:00:00,2020-03-20 22:49:49
"Adalbertstraße (West)","Aachen",170,6.0914345,50.7751788,2019-10-09 00:00:00,2020-03-20 22:44:56
"Flinger Straße","Düsseldorf",55,6.7748266,51.2253525,2018-05-01 00:00:00,2020-03-20 22:48:58
"Petersstraße","Leipzig",68,12.3746364,51.3383289,2018-05-01 00:00:00,2020-03-20 22:40:44
"Weender Straße (Süd)","Göttingen",244,9.9350534,51.5351008,2019-11-21 00:00:00,2020-03-20 22:48:42
"Hutfiltern","Braunschweig",128,10.5213819,52.2623365,2019-04-01 00:00:00,2020-03-20 06:14:16
"Schuhstraße","Braunschweig",129,10.5208918,52.263388,2019-04-01 00:00:00,2020-03-20 06:13:59
"Johannisstraße (Nord)","Osnabrück",110,8.0518855,52.269395,2019-01-30 00:00:00,2020-03-20 22:48:50
"Hohe Straße (Mitte)","Köln",48,6.9562851,50.9370811,2018-05-01 00:00:00,2020-03-20 23:01:20
"Kurfürstendamm Nordseite (Ost)","Berlin",94,13.3107046,52.5002944,2018-11-10 00:00:00,2020-03-20 22:49:06
"Bahnhofstraße (Mitte)","Bielefeld",162,8.5313407,52.025841,2019-07-03 00:00:00,2020-03-20 23:00:09
"Bahnhofstraße (Mitte)","Brilon",249,8.5746481,51.3977798,2019-12-06 00:00:00,2020-03-20 22:50:07
"Planken (Mitte)","Mannheim",95,8.4687368,49.4867989,2018-11-12 20:56:00,2020-03-20 23:03:07
"Seltersweg","Gießen",122,8.6723855,50.5834552,2019-03-07 00:00:00,2020-03-20 23:06:05
"Poststraße","Braunschweig",127,10.5188231,52.2625684,2019-04-01 00:00:00,2020-03-20 06:12:59
"Poststraße","Bonn",87,7.0979684,50.7335623,2018-07-31 00:00:00,2020-03-20 06:15:02
"Poststraße","Wuppertal",154,7.1475704,51.2577586,2019-06-14 00:00:00,2020-03-20 23:03:22
"Ludgeristraße","Münster",117,7.6273669,51.9585181,2018-11-20 01:00:00,2020-03-20 06:15:06
"Georgstraße  (West)","Osnabrück",155,8.0486588,52.2750108,2019-06-14 00:00:00,2020-03-20 23:08:04
"Kurfürstendamm Südseite (Ost)","Berlin",97,13.3107046,52.5002944,2018-10-20 00:00:00,2019-12-12 11:17:15
"Ehrenstraße (Mitte)","Köln",205,6.9427346,50.9383411,2019-10-05 00:00:00,2020-03-20 23:06:35
"Herrenteichsstraße (Ost)","Osnabrück",114,8.0471954,52.2759178,2019-01-31 00:00:00,2020-03-20 22:55:58
"Neue Straße","Braunschweig",126,10.5195983,52.2641341,2019-04-08 00:00:00,2020-03-20 06:12:56
"Langer Hof","Braunschweig",132,10.5254688,52.2635656,2019-04-01 00:00:00,2020-03-20 06:11:24
"Kaiserstraße (Mitte)","Karlsruhe",67,8.4026613,49.0096145,2018-12-13 00:00:00,2020-03-20 23:04:50
"Ehrenstraße (Ost)","Köln",50,6.9427346,50.9383411,2018-05-01 00:00:00,2020-03-20 22:59:23
"Remigiusstraße","Bonn",51,7.1009432,50.7344064,2018-05-01 00:00:00,2020-03-20 23:05:22
"Königstraße (Mitte)","Stuttgart",76,9.1779047,48.778096,2018-05-01 00:00:00,2020-03-20 23:08:58
"Hainstraße","Leipzig",69,12.3735015,51.342161,2018-05-01 00:00:00,2020-03-20 23:04:34
"Spitalerstraße","Hamburg",81,10.0026133,53.5519671,2018-05-01 00:00:00,2020-03-20 23:03:04
"Kirchgasse","Wiesbaden",79,8.2380021,50.0802521,2018-05-01 00:00:00,2020-03-20 23:06:28
"Karolinenstraße","Nürnberg",90,11.0758686,49.4510302,2018-08-27 00:00:00,2020-03-20 22:57:49
"Wilhelmstraße","Reutlingen",134,9.2117198,48.4920619,2019-04-25 00:00:00,2020-03-20 23:08:41
"Goethestraße","Frankfurt a.M.",59,8.6741254,50.1139928,2018-05-01 00:00:00,2020-03-20 23:01:42
"Herrenteichsstraße (West)","Osnabrück",116,8.0471954,52.2759178,2019-01-31 00:00:00,2020-03-20 23:07:57
"Bahnhofstraße (West)","Brilon",248,8.5746481,51.3977798,2019-12-06 00:00:00,2020-03-20 22:52:36
"Rathausgasse","Freiburg",84,7.8485128,47.9960542,2018-07-02 09:00:00,2020-03-20 22:29:23
"Breite Straße (Mitte)","Lübeck",207,10.6834708,53.8653372,2019-10-19 00:00:00,2020-03-20 23:05:09
"Schützenstraße","München",74,11.562514,48.1398846,2018-05-01 00:00:00,2020-03-20 22:27:24
"Westenhellweg (Ost)","Dortmund",246,7.461371,51.5143319,2019-12-20 00:00:00,2020-03-20 23:03:49
"Schildergasse (Mitte)","Köln",159,6.9525662,50.9364177,2019-06-26 00:00:00,2020-03-20 23:03:45
"Hauptstraße (West)","Heidelberg",141,8.7055984,49.4116014,2019-05-15 00:00:00,2020-03-20 23:04:44
"Hauptstraße","Bergisch-Gladbach",171,7.1378114,50.9909007,2019-09-29 00:00:00,2020-03-20 23:07:01
"Brotstraße","Trier",138,6.6404492,49.7547663,2019-05-07 00:00:00,2020-03-20 23:04:52
"Schadowstraße (Ost)","Düsseldorf",54,6.7837543,51.2266195,2018-05-01 00:00:00,2020-03-20 22:59:05
"Schuchardstraße","Darmstadt",103,8.6530549,49.8715311,2019-01-21 07:30:00,2020-03-20 22:43:59
"Werner-Senger-Straße","Limburg",148,8.0611831,50.3865918,2019-06-05 00:00:00,2020-03-20 22:57:03
"Hoher Weg","Hildesheim",208,9.9507911,52.1518481,2019-10-29 09:11:00,2020-02-06 02:24:05
"Schadowstraße (West)","Düsseldorf",53,6.7837543,51.2266195,2018-05-01 00:00:00,2020-03-20 23:04:55
"Jungfernstieg","Hamburg",92,9.9919413,53.5536475,2018-09-28 00:00:00,2020-03-20 23:01:55
"Große Bockenheimer Straße","Frankfurt a.M.",58,8.6748932,50.114437,2018-05-01 00:00:00,2020-03-20 06:15:02
"Jürgensort","Osnabrück",111,8.0459702,52.2743561,2019-01-30 00:00:00,2020-03-20 23:10:30
